Franchise,Year,30
Atlanta Hawks,2015,"<a href="">Atlanta Hawks</>"
Boston Celtics,2015,"<a href="">Boston Celtics</>"
Brooklyn Nets,2015,"<a href="">Brooklyn Nets</>"
Charlotte Hornets,2015,"<a href="">Charlotte Hornets</>"
Chicago Bulls,2015,"<a href="">Chicago Bulls</>"
Cleveland Cavaliers,2015,"<a href="">Cleveland Cavaliers</>"
Dallas Mavericks,2015,"<a href="">Dallas Mavericks</>"
Denver Nuggets,2015,"<a href="">Denver Nuggets</>"
Detroit Pistons,2015,"<a href="">Detroit Pistons</>"
Golden State Warriors,2015,"<a href="">Golden State Warriors</>"
Houston Rockets,2015,"<a href="">Houston Rockets</>"
Indiana Pacers,2015,"<a href="">Indiana Pacers</>"
Los Angeles Clippers,2015,"<a href="">Los Angeles Clippers</>"
Los Angeles Lakers,2015,"<a href="">Los Angeles Lakers</>"
Memphis Grizzlies,2015,"<a href="">Memphis Grizzlies</>"
Miami Heat,2015,"<a href="">Miami Heat</>"
Milwaukee Bucks,2015,"<a href="">Milwaukee Bucks</>"
Minnesota Timberwolves,2015,"<a href="">Minnesota Timberwolves</>"
New Orleans Pelicans,2015,"<a href="">New Orleans Pelicans</>"
New York Knicks,2015,"<a href="">New York Knicks</>"
Oklahoma City Thunder,2015,"<a href="">Oklahoma City Thunder</>"
Orlando Magic,2015,"<a href="">Orlando Magic</>"
Philadelphia 76ers,2015,"<a href="">Philadelphia 76ers</>"
Phoenix Suns,2015,"<a href="">Phoenix Suns</>"
Portland Trail Blazers,2015,"<a href="">Portland Trail Blazers</>"
Sacramento Kings,2015,"<a href="">Sacramento Kings</>"
San Antonio Spurs,2015,"<a href="">San Antonio Spurs</>"
Toronto Raptors,2015,"<a href="">Toronto Raptors</>"
Utah Jazz,2015,"<a href="">Utah Jazz</>"
Washington Wizards,2015,"<a href="">Washington Wizards</>"
